memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,4378983,0.391811,14067425,7601140,90.0
128,cold,True,4170784,0.270524,14333707,7410030,90.0
128,cold,True,4205122,0.394547,12985834,7326520,90.0
128,cold,True,4369568,0.299033,12176375,7570710,90.0
128,cold,True,4311216,0.291772,16365941,7430120,90.0
128,cold,True,4203539,0.296911,12029410,7302050,90.0
128,cold,True,4244658,0.389883,14175173,7344330,90.0
128,cold,True,4335354,0.38341,14433432,7617060,90.0
128,cold,True,4255051,0.302664,12598699,7393940,90.0
128,cold,True,4225490,0.292138,13322943,7108700,90.0
128,cold,True,4215131,0.289264,13189086,7314940,90.0
128,cold,True,4424067,0.292884,13830051,7505430,90.0
128,cold,True,4293376,0.267153,14261414,7451710,90.0
128,cold,True,4310915,0.393226,15105694,7550240,90.0
128,cold,True,4207753,0.291742,11944883,7229380,90.0
128,cold,True,4305732,0.38155,13467175,7527510,90.0
128,cold,True,4192204,0.073168,12121045,7269350,90.0
128,cold,True,4275425,0.265478,13945421,7474350,90.0
128,cold,True,4310926,0.279105,12168242,7491610,90.0
128,cold,True,4330866,0.294262,16800141,8151530,90.0
128,cold,True,4149589,0.28184,13522947,7189190,90.0
128,cold,True,4386458,0.282907,13787466,7549200,90.0
128,cold,True,4118514,0.287361,11374961,6820280,90.0
128,cold,True,4386494,0.293433,15996646,7626680,90.0
128,cold,True,4229612,0.280865,13843818,7352660,90.0
128,cold,True,3478414,0.299691,7124418,5798600,90.0
128,cold,True,4365721,0.397079,13856650,7548310,90.0
128,cold,True,4258201,0.383687,13474124,7358370,90.0
128,cold,True,4279597,0.401356,14043345,7399920,90.0
128,cold,True,4235955,0.300101,11433674,7357470,90.0
128,cold,True,4197927,0.283282,12861610,7256390,90.0
128,cold,True,3628927,0.290282,7203848,6048840,90.0
128,cold,True,4158880,0.28233,12410103,7137880,90.0
128,cold,True,4346669,1.37533,12853504,7428390,90.0
128,cold,True,4279616,0.30103,16944875,7380120,90.0
128,cold,True,4378142,0.286533,12799896,7477980,90.0
128,cold,True,4361592,0.286177,13877171,7543840,89.0
128,cold,True,3400747,0.283068,6901816,5699930,90.0
128,cold,True,4312483,0.281722,14368226,7395950,90.0
128,cold,True,4221597,0.285929,16475635,7263270,90.0
128,cold,True,4381823,0.302747,12142992,7482150,90.0
128,cold,True,4128036,0.070685,13199301,7048880,90.0
128,cold,True,4136724,0.403716,13364087,7234420,90.0
128,cold,True,4181065,0.299255,15793409,7339870,90.0
128,cold,True,4302670,0.298532,13184062,7442690,90.0
128,cold,True,4330115,0.280975,14884387,7428630,90.0
128,cold,True,4340210,0.28142,12884229,7521130,90.0
128,cold,True,4300045,0.295895,16047049,7362210,90.0
128,cold,True,4266220,0.275888,14482556,7328490,90.0
128,cold,True,4283906,0.297086,15030355,7384450,90.0
128,cold,True,4285309,0.292519,12767303,7387000,90.0
128,cold,True,4298253,0.386135,14639770,7457070,89.0
128,cold,True,4263490,0.078508,11580989,7384420,90.0
128,cold,True,4373089,0.391266,13586667,7495060,90.0
128,cold,True,4369005,0.074624,15103030,7490530,90.0
128,cold,True,4312925,0.294057,15075154,7074730,90.0
128,cold,True,4096324,0.268419,12946574,6796790,90.0
128,cold,True,4299086,0.280699,13974204,7460830,90.0
128,cold,True,4219401,0.280704,13757945,7279680,90.0
128,cold,True,3532139,0.282399,7376945,5874480,90.0
128,cold,True,4197319,0.398857,12604022,7295650,90.0
128,cold,True,3443337,0.287939,7177435,5705720,90.0
128,cold,True,3538370,0.26712,6920448,5917600,90.0
128,cold,True,4250133,0.401267,14474350,7252340,90.0
128,cold,True,4191314,0.390184,14367524,7250190,90.0
128,cold,True,4322433,0.28089,13767711,7521690,90.0
128,cold,True,4215049,0.381023,14152542,7276470,90.0
128,cold,True,4298684,0.402644,12978362,7360360,90.0
128,cold,True,4263727,0.305014,15266264,7325380,90.0
128,cold,True,4350199,0.299631,15358658,7590360,90.0
128,cold,True,4347050,0.394949,14494710,7409550,90.0
128,cold,True,4282505,0.294581,16395208,7401810,89.0
128,cold,True,4242901,0.385841,11756684,7183910,90.0
128,cold,True,4250513,0.266618,13170502,7272470,90.0
128,cold,True,4287087,0.297596,16313269,7386330,90.0
128,cold,True,4297369,0.276933,14008971,7456370,90.0
128,cold,True,4324733,0.395734,14145734,7445470,90.0
128,cold,True,4169285,0.397857,14050815,7288000,90.0
128,cold,True,4249483,0.305517,16249674,7291240,90.0
128,cold,True,4318162,0.294198,13854135,7458690,89.0
128,cold,True,4322069,0.30665,16547038,7481940,90.0
128,cold,True,4317402,0.291715,13817320,7398430,90.0
128,cold,True,4353621,0.296021,11642384,7455550,90.0
128,cold,True,4430271,0.387269,14980158,7632000,89.0
128,cold,True,4317518,0.288077,12563653,7538160,90.0
128,cold,True,4390984,0.275535,14508157,7570300,90.0
128,cold,True,4281630,0.276944,14184460,7402920,90.0
