memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,burst,True,342482,0.089519,8881948,471000,
128,burst,True,3394054,1.212301,12723748,4317000,
128,burst,True,240151,0.036499,14175394,349000,
128,burst,True,267375,0.052204,5910592,344000,
128,burst,True,3400000,0.077478,12964937,4501000,
128,burst,True,276815,0.102811,3428758,353000,
128,burst,False,3005159,0.104125,12230487,3512000,
128,burst,True,240646,0.105638,16246770,342000,
128,burst,True,3691326,0.088362,10728545,4650000,
128,burst,True,3596646,0.049789,12889842,4721000,
128,burst,True,2789252,0.080879,13416616,4958000,
128,burst,True,230725,0.09185,3241937,313000,
128,burst,True,3006275,0.04522,13133178,4000000,
128,burst,True,3502522,0.063168,13297327,4318000,
128,burst,True,3300763,0.068067,13164872,4232000,
128,burst,True,3198887,0.03879,4405162,3889000,
128,burst,True,3590847,0.086653,16909658,4322000,
128,burst,True,3307090,0.029105,12891218,4444000,
128,burst,True,3609763,0.07193,16617549,4799000,
128,burst,True,239700,0.148012,14601264,310000,
128,burst,True,3502884,0.062084,12781561,4636000,
128,burst,True,3192409,0.116063,12183063,3768000,
128,burst,True,3501456,0.113501,16617336,4571000,
128,burst,True,2102044,0.080714,13462999,3921000,
128,burst,True,3596415,0.036763,14944718,4326000,
128,burst,True,3400982,0.08178,10707132,4576000,
128,burst,True,3506298,0.03446,12927518,4551000,
128,burst,True,3504496,0.072317,12854819,4599000,
128,burst,True,244760,0.053234,9740862,324000,
128,burst,True,2803065,0.084576,11068509,3404000,
128,burst,True,3306085,0.038636,16684574,4373000,
128,burst,True,3391607,0.053039,13687832,4532000,
128,burst,True,2903705,0.088962,16673404,3829000,
128,burst,True,3695219,0.108839,16713803,4472000,
128,burst,True,220856,0.077689,11342773,302000,
128,burst,True,2895076,0.069615,13597061,3659000,
128,burst,True,285911,0.071287,3920907,380000,
128,burst,True,294331,0.030805,3941462,409000,
128,burst,False,2698027,0.126648,17009457,2903000,
128,burst,True,263965,0.113006,13851374,364000,
128,burst,False,2975891,0.123221,16799178,3386000,
128,burst,True,3695679,0.081749,13525892,4410000,
128,burst,True,2797499,0.088281,13341744,3207000,
128,burst,True,3642835,0.035521,11785219,4159000,
128,burst,True,273287,0.048534,4403609,360000,
128,burst,True,3209748,0.040686,12797270,4093000,
128,burst,True,3591419,0.031778,13171888,4234000,
128,burst,True,3977213,0.043704,12568000,5288000,
128,burst,True,3197966,0.038001,13246708,4437000,
128,burst,True,304980,0.059189,4181514,411000,
128,burst,False,3246950,0.07282,13514077,3754000,
128,burst,True,3200646,0.038199,15615993,3784000,
128,burst,True,3109622,0.108743,14813404,4020000,
128,burst,True,276493,0.069909,8402471,357000,
128,burst,True,4349687,0.027663,15288013,5063000,
128,burst,True,2893208,0.12044,16773571,3598000,
128,burst,True,228665,0.065386,3236177,287000,
128,burst,True,3894561,0.039358,13184651,4866000,
128,burst,True,291737,0.067723,6838326,377000,
128,burst,True,2903512,0.080309,13733056,3849000,
128,burst,True,3602101,0.045596,14982928,4183000,
128,burst,True,3396475,0.038,12223846,4060000,
128,burst,True,292626,0.10674,5315197,402000,
128,burst,True,3894539,0.092289,13457424,5181000,
128,burst,True,285557,0.10158,3586602,374000,
128,burst,True,3699672,0.09188,16610957,4807000,
128,burst,True,363660,0.098954,8835091,516000,
128,burst,True,3103186,0.044306,16223775,4070000,
128,burst,True,3100520,0.029761,15499562,3977000,
128,burst,True,2302060,0.097641,16690715,2998000,
128,burst,True,3287488,0.036085,13593564,3898000,
128,burst,True,219724,0.063458,1663016,327000,
128,burst,True,297661,0.119575,10451054,439000,
128,burst,True,288000,0.044848,4098105,384000,
128,burst,True,2670428,0.039628,13515761,6838000,
128,burst,True,3496979,0.048593,16481695,4264000,
128,burst,True,315845,0.053054,4399718,444000,
128,burst,True,281129,0.06291,11705371,405000,
128,burst,False,3036302,0.071705,13284418,3542000,
128,burst,True,3600906,0.026484,11566769,4105000,
128,burst,True,263364,0.136099,2813807,350000,
128,burst,True,3097403,0.056431,16666966,4133000,
128,burst,True,3301467,0.07248,12910711,3809000,
128,burst,True,3402462,0.027488,9835019,4024000,
128,burst,True,246451,0.07823,3880081,327000,
128,burst,True,3298955,0.057718,16721587,4213000,
128,burst,True,353790,0.092172,4121684,466000,
128,burst,True,294448,0.110461,14762815,424000,
128,burst,False,2798746,0.097312,15443712,3105000,
128,burst,True,262957,0.103805,13615682,334000,
128,burst,True,273101,0.128369,14971740,371000,
128,burst,True,273538,0.044159,7841352,406000,
128,burst,True,253296,0.056508,4590616,335000,
128,burst,True,3496194,0.081821,15661094,3918000,
128,burst,True,3394602,0.109819,15966751,4325000,
128,burst,True,3101298,0.040958,15563615,6573000,
128,burst,True,3206950,0.096903,12090084,4110000,
128,burst,True,253038,0.089015,10868920,339000,
128,burst,True,3502594,0.12053,16685102,4692000,
128,burst,True,3302779,0.070879,16894199,4123000,
128,burst,True,3607876,0.05006,16816671,4216000,
128,burst,True,3592335,0.07622,13464844,4137000,
128,burst,True,3193627,0.100535,11529377,4070000,
128,burst,True,3500620,0.040643,13065768,4547000,
128,burst,True,319442,0.036104,5556637,414000,
128,burst,True,3394473,0.073744,13700748,4566000,
128,burst,True,301430,0.033601,8858746,439000,
128,burst,True,2497731,0.079644,9182476,3100000,
128,burst,True,3398294,0.075048,13332526,4252000,
128,burst,True,5102916,0.111425,16375950,5847000,
128,burst,True,3604673,0.06139,16245622,4640000,
128,burst,True,3095361,0.054877,13555025,4191000,
128,burst,True,3303984,0.078524,16077607,4130000,
128,burst,True,253379,0.10105,2827712,330000,
128,burst,False,2801265,0.101474,13037254,3205000,
128,burst,True,3296943,0.047411,13383298,4844000,
128,burst,True,3400735,0.072829,15078112,4287000,
128,burst,True,4587611,0.05955,9481205,6037000,
128,burst,True,271080,0.05623,8848287,357000,
128,burst,True,3004716,0.044699,16573201,3977000,
128,burst,True,3197667,0.083393,16652981,4158000,
128,burst,True,3101099,0.060128,13257330,4251000,
128,burst,True,328610,0.060421,8309034,466000,
128,burst,True,3901305,0.028333,11380065,4610000,
128,burst,True,270221,0.08937,4334477,323000,
128,burst,True,3097054,0.068767,12199143,3827000,
128,burst,True,4198455,0.039388,11874317,5639000,
128,burst,True,3299310,0.058262,13574841,4603000,
128,burst,True,3395086,0.088056,13381314,4406000,
128,burst,True,406974,0.08264,10147525,525000,
128,burst,True,3404427,0.098947,17149157,4380000,
128,burst,True,3297197,0.036458,12789732,4212000,
128,burst,True,3909438,0.040604,12053178,5070000,
128,burst,True,3996616,0.032613,16919260,5519000,
128,burst,True,3296466,0.120155,17132759,4066000,
128,burst,True,3399349,0.08165,16255030,4279000,
128,burst,True,3303749,0.088994,15550870,4272000,
128,burst,True,3200927,0.132998,16927167,4281000,
