memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,burst,True,3866563,0.491907,17570302,4507320,87.0
128,burst,True,3882079,0.452701,17784942,4522820,87.0
128,burst,True,3975282,0.474477,20310015,4614960,88.0
128,burst,True,3807154,0.466597,19643221,4427980,88.0
128,burst,True,3915870,0.45919,12136777,4416220,88.0
128,burst,True,3804616,0.463257,17515415,4424430,88.0
128,burst,True,3995928,0.451043,19973165,4599260,87.0
128,burst,True,3938547,0.4625,17736055,4560950,88.0
128,burst,True,3846996,0.463019,17244012,4467100,87.0
128,burst,True,3965959,0.459688,18865493,4568250,87.0
128,burst,True,3923255,0.485638,16399069,4561720,87.0
128,burst,True,3839428,0.469469,17103289,4481090,87.0
128,burst,True,3824710,0.469653,12837505,4466130,87.0
128,burst,True,3749495,0.481078,10859198,4351410,87.0
128,burst,True,3814666,0.472216,16285491,4435770,87.0
128,burst,True,3887255,0.4745,13133283,4507200,87.0
128,burst,True,3803908,0.471748,16214563,4423020,88.0
128,burst,True,3812881,0.466864,19825231,4434570,87.0
128,burst,True,3534635,0.485991,17483402,3897330,87.0
128,burst,True,3819821,0.473914,11681484,4441440,87.0
128,burst,True,3925075,0.474696,13678073,4545390,88.0
128,burst,True,3874393,0.457527,19350655,4475720,87.0
128,burst,True,3893041,0.510753,16890777,4514110,87.0
128,burst,True,3793903,0.464537,19524803,4415440,87.0
128,burst,True,3846834,0.462424,12551064,4447810,87.0
128,burst,True,3923834,0.475295,17893815,4544600,88.0
128,burst,True,3852335,0.479262,13030684,4472880,87.0
128,burst,True,3866934,0.489102,19370272,4468970,88.0
128,burst,True,3964600,0.499357,20561348,4586630,87.0
128,burst,True,3877549,0.489421,12767448,4498400,87.0
128,burst,True,3806612,0.080176,17749443,4426760,87.0
128,burst,True,3857249,0.510886,21108989,4496820,87.0
128,burst,True,3922731,0.493836,20311082,4422390,88.0
128,burst,True,3805138,0.46319,15821616,4426620,87.0
128,burst,True,3992282,0.4624,17543639,4632070,87.0
128,burst,True,3771279,0.475497,10432057,4394400,87.0
128,burst,True,3686067,0.46395,19797613,4324950,87.0
128,burst,True,3762590,0.463269,17706804,4383480,88.0
128,burst,True,3812744,0.482827,18999606,4431240,87.0
128,burst,True,3841268,0.477982,11222776,4462730,88.0
128,burst,True,3895279,0.477587,15643361,4554400,87.0
128,burst,True,3937867,0.471449,13716732,4559000,87.0
128,burst,True,3846420,0.486054,17251285,4504890,87.0
128,burst,True,3789598,0.461488,15490939,4410410,87.0
128,burst,True,4029528,0.463191,19082331,4529050,87.0
128,burst,True,3883291,0.469332,16561791,4523750,88.0
128,burst,True,3763527,0.484038,14870235,4385350,88.0
128,burst,True,3798048,0.482209,19968838,4438340,87.0
128,burst,True,3949017,0.499846,19357861,4607840,87.0
128,burst,True,3821385,0.466836,16031830,4460650,88.0
128,burst,True,3923595,0.480807,13069455,4562840,87.0
128,burst,True,3817698,0.455185,18708954,4458260,88.0
128,burst,True,3853440,0.453773,19321309,4475000,87.0
128,burst,True,3749074,0.51228,18367098,4371040,87.0
128,burst,True,3835930,0.500448,20925651,4436760,87.0
128,burst,True,3700723,0.456776,18503429,4358570,87.0
128,burst,True,3825842,0.471562,17897842,4466160,87.0
128,burst,True,3826541,0.487488,20556714,4448150,88.0
128,burst,True,3872380,0.462999,18888535,4514490,87.0
128,burst,True,3941140,0.49545,15996321,4600060,87.0
128,burst,True,3816741,0.45907,12737708,4438140,88.0
128,burst,True,3848771,0.470069,18677765,4490590,88.0
128,burst,True,3872906,0.460483,19586505,4492220,88.0
128,burst,True,3868944,0.477168,18150844,4488920,88.0
128,burst,True,3863211,0.451748,19438670,4524510,87.0
128,burst,True,3839952,0.472635,16535488,4460240,87.0
128,burst,True,3833603,0.480285,12610182,4474680,87.0
128,burst,True,3837358,0.48494,14776999,4477700,87.0
128,burst,True,3233977,0.492181,10059330,3576860,87.0
128,burst,True,3812957,0.474634,19370583,4434190,88.0
128,burst,True,3930942,0.473822,15831977,4571650,87.0
128,burst,True,3926412,0.462694,17506608,4547810,87.0
128,burst,True,3868922,0.459596,16396439,4469810,88.0
128,burst,True,3854497,0.479689,18363040,4476950,87.0
128,burst,True,3903890,0.494595,15142980,4548010,87.0
128,burst,True,3885815,0.460076,14228901,4526850,87.0
128,burst,True,4018208,1.579995,21428034,4600490,87.0
128,burst,True,3874822,0.478095,16494284,4496740,87.0
128,burst,True,3807662,0.487838,13569207,4504600,87.0
128,burst,True,3960503,0.452395,15094489,4600920,87.0
128,burst,True,3831384,0.506136,21340001,4432850,87.0
128,burst,True,3812458,0.462229,19401060,4454080,87.0
128,burst,True,3980244,0.472109,18915898,4640570,88.0
128,burst,True,3782562,0.482323,19740531,4366390,87.0
128,burst,True,3977386,0.452776,19744617,4636760,87.0
128,burst,True,3826060,0.468547,15949685,4426810,88.0
128,burst,True,3963102,0.457445,19363650,4603570,87.0
128,burst,True,3819520,0.488406,17871912,4401010,88.0
128,burst,True,3950858,0.47261,17248089,4629790,87.0
128,burst,True,3886688,0.472193,11989810,4527120,87.0
128,burst,True,4258933,0.452232,19391688,4739360,87.0
