memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,11056000,0.473324,10834559,11073060,109.0
128,cold,True,10598000,0.472848,10413386,10617960,110.0
128,cold,True,9545000,0.492714,12395512,9561520,109.0
128,cold,True,10493000,0.444685,10287977,10502700,109.0
128,cold,True,10899000,0.441499,10666357,10921290,108.0
128,cold,True,10555000,0.50548,13324551,10571950,109.0
128,cold,True,10042000,0.48174,10095197,10063560,109.0
128,cold,True,10338000,0.460867,10174335,10348860,108.0
128,cold,True,10412000,0.461855,10227194,10428500,109.0
128,cold,True,10646000,0.454764,10444083,10648980,109.0
128,cold,True,8135000,0.450792,8116121,8139190,109.0
128,cold,True,11199000,0.500981,13923576,11220910,108.0
128,cold,True,10872000,0.472894,10663351,10888830,109.0
128,cold,True,8483000,0.467031,8465587,8504330,110.0
128,cold,True,9843000,0.487369,9736452,9862120,109.0
128,cold,True,11173000,0.439179,10907630,11177830,109.0
128,cold,True,10820000,0.463032,10595100,10831830,110.0
128,cold,True,11005000,0.485053,10784460,11008500,110.0
128,cold,True,11423000,0.437646,11113294,11428480,109.0
128,cold,True,10648000,0.445671,10450271,10668820,110.0
128,cold,True,10383000,0.504054,13182321,10386020,109.0
128,cold,True,10643000,0.481932,10544533,10655870,109.0
128,cold,True,11095000,0.49924,13889549,11120760,110.0
128,cold,True,10626000,0.492611,13396574,10645220,108.0
128,cold,True,11211000,0.43596,10949256,11215890,109.0
128,cold,True,11029000,0.44345,10802384,11045270,110.0
128,cold,True,10966000,0.485201,13721711,10976150,109.0
128,cold,True,11201000,0.451628,10965327,11207330,109.0
128,cold,True,10682000,0.066555,13059448,10685140,109.0
128,cold,True,11092000,0.079798,10516056,11112780,109.0
128,cold,True,10284000,0.498853,13075306,10306950,109.0
128,cold,True,10501000,0.43945,10325455,10508730,109.0
128,cold,True,11568000,0.46089,11306763,11591330,109.0
128,cold,True,10053000,0.460552,9896558,10073960,110.0
128,cold,True,10815000,0.487114,13563637,10835830,108.0
128,cold,True,9698000,0.460417,9592520,9738120,109.0
128,cold,True,10690000,0.449532,10502144,10725110,109.0
128,cold,True,10308000,0.483348,13088739,10327870,109.0
128,cold,True,10478000,0.47583,10339683,10494370,109.0
128,cold,True,10869000,1.546789,11633124,10885680,109.0
128,cold,True,11044000,0.468107,10828990,11061120,110.0
128,cold,True,10747000,0.458627,10554605,10768090,108.0
128,cold,True,10510000,0.483746,10357627,10534220,108.0
128,cold,True,10279000,0.491667,13065698,10301710,109.0
128,cold,True,11142000,0.071897,10546174,11145860,110.0
128,cold,True,10874000,0.481052,10673456,10877680,109.0
128,cold,True,10813000,0.466882,10640218,10831530,110.0
128,cold,True,10806000,0.441901,10571475,10809180,109.0
128,cold,True,10804000,0.470483,10593056,10807800,109.0
128,cold,True,10202000,0.478775,10074260,10205300,110.0
128,cold,True,10455000,0.437235,10256654,10474630,109.0
128,cold,True,10549000,0.453771,10377193,10587040,110.0
128,cold,True,10739000,0.485972,10537875,10756010,109.0
128,cold,True,10552000,0.489515,13336535,10568640,109.0
128,cold,True,9393000,0.474007,9285733,9416880,109.0
128,cold,True,10372000,0.481407,10225924,10393460,108.0
128,cold,True,10608000,0.473675,10426945,10627180,109.0
128,cold,True,10417000,0.45147,10235539,10421330,108.0
128,cold,True,11926000,0.464193,11614166,11932510,108.0
128,cold,True,11612000,0.478331,11346601,11633070,108.0
128,cold,True,10974000,0.088203,10425989,10984030,108.0
128,cold,True,10906000,0.480995,10708074,10919210,109.0
128,cold,True,10347000,0.46604,10189101,10384720,109.0
128,cold,True,10157000,0.484215,12955708,10165200,109.0
128,cold,True,10802000,0.48538,10597701,10816740,109.0
128,cold,True,8155000,0.493968,11104144,8165300,109.0
128,cold,True,10769000,0.495991,13517008,10776440,108.0
128,cold,True,8366000,0.46885,8373231,8382360,110.0
128,cold,True,10501000,0.47403,10308215,10521640,109.0
128,cold,True,10434000,0.457609,10231124,10451290,109.0
128,cold,True,10697000,0.483963,10498803,10707890,110.0
128,cold,True,10307000,0.456046,10139678,10310700,109.0
