19:59:48,932 INFO SeBS-917b: Created experiment output at /home/zia/serverless-benchmarks/experiments/perf_cost/azure/3_dynamic-html
19:59:49,132 INFO AzureConfig-84b8: Using cached config for Azure
19:59:49,132 INFO Azure-18cf: Using existing resource name: 8925ab84.
19:59:51,36 INFO Benchmark-9441: Using cached benchmark 110.dynamic-html at /home/zia/serverless-benchmarks/experiments/perf_cost/azure/cache/110.dynamic-html/azure/python/3.11/x64/package/code
19:59:51,36 INFO Azure-18cf: Using cached function sebs-8925ab84-110-dynamic-html-python-3-11 in /home/zia/serverless-benchmarks/experiments/perf_cost/azure/cache/110.dynamic-html/azure/python/3.11/x64/package/code
19:59:51,36 INFO Azure-18cf: Cached function sebs-8925ab84-110-dynamic-html-python-3-11 is up to date.
19:59:51,37 INFO Experiment.PerfCost-0a4e: Begin experiment on memory size 128
19:59:51,247 INFO Azure-18cf: Attempting publish of function sebs-8925ab84-110-dynamic-html-python-3-11
20:00:11,90 INFO Experiment.PerfCost-0a4e: Begin burst experiments
20:00:37,875 INFO Experiment.PerfCost-0a4e: Processed 0 warm-up samples, ignoring these results.
20:01:11,733 INFO Experiment.PerfCost-0a4e: Processed 1 samples out of 50, 0 errors
20:01:45,637 INFO Experiment.PerfCost-0a4e: Processed 2 samples out of 50, 0 errors
20:02:19,454 INFO Experiment.PerfCost-0a4e: Processed 3 samples out of 50, 0 errors
20:02:53,338 INFO Experiment.PerfCost-0a4e: Processed 4 samples out of 50, 0 errors
20:03:27,193 INFO Experiment.PerfCost-0a4e: Processed 5 samples out of 50, 0 errors
20:04:01,50 INFO Experiment.PerfCost-0a4e: Processed 6 samples out of 50, 0 errors
20:04:34,818 INFO Experiment.PerfCost-0a4e: Processed 7 samples out of 50, 0 errors
20:05:10,77 INFO Experiment.PerfCost-0a4e: Processed 8 samples out of 50, 0 errors
20:05:43,946 INFO Experiment.PerfCost-0a4e: Processed 9 samples out of 50, 0 errors
20:06:14,915 INFO Experiment.PerfCost-0a4e: Processed 10 samples out of 50, 0 errors
20:06:50,616 INFO Experiment.PerfCost-0a4e: Processed 11 samples out of 50, 0 errors
20:07:21,719 INFO Experiment.PerfCost-0a4e: Processed 12 samples out of 50, 0 errors
20:07:58,751 INFO Experiment.PerfCost-0a4e: Processed 13 samples out of 50, 0 errors
20:08:29,650 INFO Experiment.PerfCost-0a4e: Processed 14 samples out of 50, 0 errors
20:09:04,882 INFO Experiment.PerfCost-0a4e: Processed 15 samples out of 50, 0 errors
20:09:38,868 INFO Experiment.PerfCost-0a4e: Processed 16 samples out of 50, 0 errors
20:10:09,727 INFO Experiment.PerfCost-0a4e: Processed 17 samples out of 50, 0 errors
20:10:46,783 INFO Experiment.PerfCost-0a4e: Processed 18 samples out of 50, 0 errors
20:11:21,137 INFO Experiment.PerfCost-0a4e: Processed 19 samples out of 50, 0 errors
20:11:55,47 INFO Experiment.PerfCost-0a4e: Processed 20 samples out of 50, 0 errors
20:12:30,287 INFO Experiment.PerfCost-0a4e: Processed 21 samples out of 50, 0 errors
20:13:01,252 INFO Experiment.PerfCost-0a4e: Processed 22 samples out of 50, 0 errors
20:13:36,499 INFO Experiment.PerfCost-0a4e: Processed 23 samples out of 50, 0 errors
20:14:07,429 INFO Experiment.PerfCost-0a4e: Processed 24 samples out of 50, 0 errors
20:14:44,587 INFO Experiment.PerfCost-0a4e: Processed 25 samples out of 50, 0 errors
20:15:18,484 INFO Experiment.PerfCost-0a4e: Processed 26 samples out of 50, 0 errors
20:15:49,313 INFO Experiment.PerfCost-0a4e: Processed 27 samples out of 50, 0 errors
20:16:24,621 INFO Experiment.PerfCost-0a4e: Processed 28 samples out of 50, 0 errors
20:16:58,584 INFO Experiment.PerfCost-0a4e: Processed 29 samples out of 50, 0 errors
