memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,522212,0.144659,680094,553146,
128,warm,False,583063,0.246421,848347,626784,
128,warm,False,296348,0.14871,1380986,1267577,
128,warm,False,627023,0.140072,1345967,1280735,
128,warm,False,252058,0.151839,1156997,1050188,
128,warm,False,362945,0.158899,992300,872139,
128,warm,False,410203,0.158067,1588306,1489170,
128,warm,False,541038,0.156787,1784978,1552880,
128,warm,False,416806,0.164444,1689543,1401119,
128,warm,False,406940,0.198483,5617634,2056366,
128,warm,False,485570,0.189965,5493507,2024965,
128,warm,False,380715,0.141715,563374,403521,
128,warm,False,443539,0.159064,1245701,956382,
128,warm,False,601569,0.262025,1309791,1119345,
128,warm,False,552595,0.145973,1761059,1509936,
128,warm,False,715910,0.178871,4101283,728342,
128,warm,False,606529,0.185896,4849526,1436022,
128,warm,False,403582,0.148166,615899,460072,
128,warm,False,255667,0.264507,1546081,1335190,
128,warm,False,507203,0.266207,1781026,1591603,
128,warm,False,703001,0.154067,1378874,1277583,
128,warm,False,273239,0.161369,1380104,1250982,
128,warm,False,623289,0.141178,798804,695130,
128,warm,False,474464,0.267522,1729594,1564572,
128,warm,False,443361,0.166665,1120491,1013766,
128,warm,False,484571,0.159139,721986,557330,
128,warm,False,936003,0.17624,4268168,972457,
128,warm,False,602291,0.257706,847991,627914,
128,warm,False,337913,0.152014,1865721,1641901,
128,warm,False,799084,0.181761,4281935,895427,
128,warm,False,731963,0.180044,4133672,762702,
128,warm,False,557916,0.254554,825110,601072,
128,warm,False,180338,0.171691,1165895,1039358,
128,warm,False,308484,0.267262,1622189,1436515,
128,warm,False,550282,0.14709,708582,578402,
128,warm,False,373891,0.161494,738184,424896,
128,warm,False,384057,0.144886,579468,417224,
128,warm,False,612780,0.159252,805470,674741,
128,warm,False,637626,0.195424,5944566,2445419,
128,warm,False,577661,0.186819,5057354,1638907,
128,warm,False,586357,0.150741,1419325,1338686,
128,warm,False,606163,0.249959,892633,662445,
128,warm,False,635456,0.189725,5225570,1819627,
128,warm,False,455494,0.167711,1330234,1228658,
128,warm,False,603305,0.157822,1299481,1179511,
128,warm,False,470135,0.150065,660732,529497,
128,warm,False,604061,0.153073,764207,642858,
128,warm,False,619569,0.254374,1000170,790809,
128,warm,False,432415,0.146377,760068,437462,
128,warm,False,564852,0.15572,1318665,1214177,
128,warm,False,409985,0.252953,709838,467438,
128,warm,False,425645,0.248532,681633,449319,
128,warm,False,434319,0.145456,632404,498694,
128,warm,False,513927,0.156392,745250,603765,
128,warm,False,647551,0.15214,1298392,1176648,
128,warm,False,676956,0.184692,4907858,1476978,
128,warm,False,222161,0.142809,1198645,1119650,
128,warm,False,486934,0.189763,5054889,1563394,
128,warm,False,554256,0.248795,1315032,1118539,
128,warm,False,325994,0.143385,531088,380076,
128,warm,False,465641,0.140002,853160,532831,
128,warm,False,483971,0.153055,1176869,906847,
128,warm,False,618061,0.194029,5707468,2215870,
128,warm,False,486176,0.154249,1294259,991896,
128,warm,False,478911,0.145851,862413,554022,
128,warm,False,422846,0.143689,622537,450481,
128,warm,False,361750,0.158877,1596156,1492018,
128,warm,False,396847,0.164683,989507,854306,
128,warm,False,607433,0.155186,869677,742319,
128,warm,False,417867,0.159086,1010043,873959,
128,warm,False,428347,0.15141,609565,475424,
128,warm,False,497537,0.150903,1279739,1159774,
128,warm,False,543996,0.144059,687660,555959,
128,warm,False,713733,0.190538,5331059,1891298,
128,warm,False,413221,0.144173,1047636,911129,
128,warm,False,416561,0.161621,1594858,1510007,
128,warm,False,453694,0.149552,1689903,1449320,
128,warm,False,100781,0.140961,299242,128970,
128,warm,False,688002,0.15072,1389826,1316276,
128,warm,False,446795,0.157504,1306658,990615,
128,warm,False,293659,0.25803,1630811,1443469,
128,warm,False,431661,0.245082,703878,457257,
128,warm,False,494370,0.167513,1173778,1050485,
128,warm,False,437377,0.149286,800323,490851,
128,warm,False,491101,0.268163,1627209,1453879,
128,warm,False,605564,0.143757,785552,630846,
128,warm,False,480008,0.154985,1097319,980432,
128,warm,False,454133,0.151577,1248035,936701,
128,warm,False,648296,0.143077,791389,675597,
128,warm,False,538276,0.180684,6002119,2464553,
128,warm,False,602621,0.250093,893295,666366,
128,warm,False,428335,0.156222,815063,478502,
128,warm,False,630681,0.14072,1011086,698394,
128,warm,False,555863,0.261741,1389560,1207234,
128,warm,False,432856,0.143421,993642,867871,
128,warm,False,457747,0.153071,1749978,1503109,
128,warm,False,469854,0.159344,1678276,1412932,
128,warm,False,201706,0.13901,1156635,1047470,
128,warm,False,348966,0.15674,1641666,1531596,
128,warm,False,396900,0.150173,774207,448767,
128,warm,False,492098,0.148295,799476,671012,
128,warm,False,421566,0.254406,676591,445514,
128,warm,False,432773,0.163878,1595854,1307718,
128,warm,False,489822,0.16075,1227797,919407,
128,warm,False,385208,0.136037,988079,833372,
128,warm,False,584809,0.14633,1341839,1186636,
128,warm,False,549407,0.254711,862717,617128,
128,warm,False,600208,0.142224,753144,643217,
128,warm,False,473314,0.156685,1611367,1343886,
128,warm,False,573767,0.153283,1056840,944536,
128,warm,False,754563,0.179132,4206580,816064,
128,warm,False,552804,0.184846,4556878,1158742,
128,warm,False,201136,0.245727,1516865,1315455,
128,warm,False,482035,0.137434,614095,498398,
128,warm,False,479440,0.147285,1102061,1014026,
128,warm,False,234504,0.154563,1253123,1146729,
128,warm,False,540813,0.243709,775942,564841,
128,warm,False,704941,0.176729,4016017,709986,
128,warm,False,658193,0.157566,908453,788385,
128,warm,False,113369,0.146489,282572,124513,
128,warm,False,495959,0.189748,5058042,1587870,
128,warm,False,453459,0.195773,5567926,2033072,
128,warm,False,438264,0.158109,1068723,942734,
128,warm,False,576043,0.162097,757115,621985,
128,warm,False,369360,0.145137,569575,430739,
128,warm,False,464108,0.257376,732980,490613,
128,warm,False,512336,0.146998,1073863,950272,
128,warm,False,451395,0.149639,1050952,935440,
128,warm,False,487060,0.154563,1215653,928282,
128,warm,False,337803,0.174398,1392979,1289855,
128,warm,False,414941,0.136408,543981,423033,
128,warm,False,119263,0.170377,3244902,134426,
128,warm,False,385512,0.161248,612385,452681,
128,warm,False,443002,0.146718,1151129,1039328,
128,warm,False,561093,0.269086,1377361,1191544,
128,warm,False,428471,0.147427,633381,497144,
128,warm,False,763035,0.189211,5494694,2069610,
128,warm,False,616249,0.243309,1290585,1082525,
128,warm,False,454265,0.146941,656200,535711,
128,warm,False,381438,0.14963,547179,408924,
128,warm,False,221416,0.200571,5701307,2165262,
128,warm,False,468580,0.148955,1108248,994915,
128,warm,False,403390,0.169028,946507,812254,
128,warm,False,294591,0.142222,1199606,1090732,
128,warm,False,362919,0.162856,1680731,1503459,
128,warm,False,489857,0.143561,818962,505456,
128,warm,False,384930,0.143745,599322,435787,
128,warm,False,388824,0.259546,1046857,833327,
128,warm,False,365115,0.247167,1084136,881075,
128,warm,False,463369,0.15314,662508,530188,
128,warm,False,334342,0.155628,1362291,1272954,
128,warm,False,637355,0.137666,830550,726276,
128,warm,False,180319,0.157399,1159328,1001102,
128,warm,False,517277,0.140471,1680992,1431134,
128,warm,False,407671,0.252159,706663,469728,
128,warm,False,556467,0.147524,720725,583677,
128,warm,False,632794,0.163234,1396994,1306955,
128,warm,False,541857,0.134228,740685,636810,
128,warm,False,444764,0.161368,1036251,916872,
128,warm,False,395735,0.169144,1460056,1354944,
128,warm,False,472850,0.153749,1265383,1161818,
128,warm,False,529173,0.186362,4593758,1187244,
128,warm,False,453342,0.185332,4538043,1130932,
128,warm,False,423016,0.156076,996380,889399,
128,warm,False,434914,0.258277,794494,554372,
128,warm,False,587732,0.142131,873324,749832,
128,warm,False,411251,0.157528,1020256,869144,
128,warm,False,351377,0.139436,1619676,1357779,
128,warm,False,440128,0.161426,1211731,1100040,
128,warm,False,462993,0.24249,826005,571978,
128,warm,False,601769,0.140192,1034855,721523,
128,warm,False,467054,0.135184,615931,493442,
128,warm,False,447108,0.157131,1053346,939502,
128,warm,False,374503,0.151896,1603605,1502614,
128,warm,False,475233,0.252584,805090,532541,
128,warm,False,252873,0.209102,5730415,2143511,
128,warm,False,675160,0.188898,5143463,1717596,
128,warm,False,469808,0.151633,782887,661612,
128,warm,False,606500,0.246944,1506923,1347014,
128,warm,False,503874,0.167787,1322039,1198516,
128,warm,False,392558,0.139292,2161206,1022240,
128,warm,False,419058,0.157488,970761,825757,
128,warm,False,455090,0.146252,616626,486237,
128,warm,False,468501,0.156953,1050863,942071,
128,warm,False,582722,0.151013,1190692,1072377,
128,warm,False,335166,0.20327,6152726,2639909,
128,warm,False,498149,0.19961,6040488,2546733,
128,warm,False,639531,0.143043,827268,683521,
128,warm,False,417396,0.149794,619051,457262,
128,warm,False,384553,0.152689,776691,454743,
128,warm,False,402684,0.263568,697883,462990,
128,warm,False,547209,0.264264,1172618,958961,
128,warm,False,577428,0.186422,4754075,1319635,
128,warm,False,614018,0.245688,1447460,1282374,
128,warm,False,443331,0.243283,674670,454065,
128,warm,False,423378,0.159825,979659,835795,
128,warm,False,446341,0.143198,633190,484974,
128,warm,False,419372,0.157001,1191233,889160,
128,warm,False,434521,0.170788,1026614,877417,
128,warm,False,522105,0.135171,724472,598959,
128,warm,False,676821,0.180216,4039876,708641,
128,warm,False,510100,0.152726,1048272,920321,
