memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3192956,0.032636,7952675,4144000,
128,cold,True,297827,0.03523,3296906,368000,
128,cold,True,250336,0.080708,3277474,322000,
128,cold,True,253470,0.040048,6016266,334000,
128,cold,True,3223097,0.039139,10279106,4229000,
128,cold,True,263500,0.042997,4163787,349000,
128,cold,True,2710358,0.088251,3756765,3317000,
128,cold,True,268641,0.085867,3578876,361000,
128,cold,True,246346,0.100794,2590391,320000,
128,cold,True,3499663,0.097754,7381286,4450000,
128,cold,True,2996004,0.032301,9467298,3742000,
128,cold,True,3000344,0.079744,5282287,4029000,
128,cold,True,298747,0.03745,3175842,3052000,
128,cold,True,270247,0.047621,2476054,357000,
128,cold,True,265290,0.035743,3131325,406000,
128,cold,True,278326,0.031999,5664692,364000,
128,cold,True,254863,0.100419,2827171,339000,
128,cold,True,3782108,0.038435,7229659,4855000,
128,cold,True,3898268,0.037461,7825517,5139000,
128,cold,True,250464,0.041067,6140591,326000,
128,cold,True,273233,0.048935,2901925,389000,
128,cold,True,2903136,0.037035,8290467,4031000,
128,cold,True,3706370,0.078815,6657958,4936000,
128,cold,True,2898849,0.039202,10697977,3690000,
128,cold,True,230297,0.079902,3550632,302000,
128,cold,True,256055,0.034021,3187597,337000,
128,cold,True,271827,0.079322,3840286,385000,
128,cold,True,269129,0.092687,3764211,389000,
128,cold,True,253716,0.099945,3196243,328000,
128,cold,True,3290727,0.032892,7586257,4459000,
128,cold,True,261403,0.030516,3285000,368000,
128,cold,True,3602084,0.077725,5288087,4502000,
128,cold,True,2998308,0.038564,10866862,3938000,
128,cold,True,229309,0.100894,3072915,340000,
128,cold,True,261856,0.032272,3585090,347000,
128,cold,True,3603271,0.031061,7990963,4275000,
128,cold,True,3702803,0.032934,10437035,4879000,
128,cold,True,2704929,0.038172,10948980,3535000,
128,cold,True,2994768,0.092606,7716688,3688000,
128,cold,True,3296243,0.032353,10302631,4269000,
128,cold,True,3198863,0.040768,5268498,3929000,
128,cold,True,3497173,0.037485,7258189,4980000,
128,cold,True,2993411,0.035988,8061566,4137000,
128,cold,True,236210,0.037509,1961134,309000,
128,cold,True,2496425,0.091089,7223925,3325000,
128,cold,True,2603237,0.087615,4678532,3543000,
128,cold,True,279072,0.096241,3071608,390000,
128,cold,True,2999903,0.092938,7742015,4046000,
