memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,13896000,0.112577,16606237,14180000,
128,cold,True,15690000,0.045833,14840948,16102000,
128,cold,True,14106000,0.073539,16881568,14478000,
128,cold,True,21298000,0.046484,19936551,21658000,
128,cold,True,22110000,0.128265,24618251,22747000,
128,cold,True,14398000,0.077107,14221616,14730000,
128,cold,True,13954000,0.080666,13512136,13983000,
128,cold,True,14387000,0.103396,14615982,14775000,
128,cold,True,13521000,0.089439,13338378,13801000,
128,cold,True,12588000,0.059012,12535521,12873000,
128,cold,True,16007000,0.088286,15750975,16394000,
128,cold,True,14692000,0.08174,14553057,15093000,
128,cold,True,15613000,0.038979,14814011,16078000,
128,cold,True,15636000,0.073896,15370903,15973000,
128,cold,True,15814000,0.086305,18023102,16330000,
128,cold,True,15905000,0.100997,16280113,16422000,
128,cold,True,15611000,0.096124,14786801,15990000,
128,cold,True,16291000,0.097352,19415628,16718000,
128,cold,True,18483000,0.069872,21031954,18892000,
128,cold,True,14402000,0.120309,14241655,14708000,
128,cold,True,15685000,0.108992,17767926,16034000,
128,cold,True,15423000,0.081132,17616731,15893000,
128,cold,True,14723000,0.088062,14620048,15115000,
128,cold,True,18593000,0.099774,21259945,19152000,
128,cold,True,14695000,0.136198,17663164,15141000,
128,cold,True,17622000,0.071882,20133581,18039000,
128,cold,True,14599000,0.101782,14467126,14930000,
128,cold,True,15709000,0.069217,18428091,16104000,
128,cold,True,15091000,0.136189,17962528,15503000,
128,cold,True,17795000,1.204116,21313881,18175000,
128,cold,True,13705000,0.110042,14020322,14040000,
128,cold,True,15398000,0.03833,14568511,15812000,
128,cold,True,16203000,0.031648,15279782,16596000,
128,cold,True,17820000,0.095669,20518629,18334000,
128,cold,True,15798000,0.071738,15658468,16158000,
128,cold,True,14978000,0.092574,17575641,15196000,
128,cold,True,14499000,0.097383,17227961,14825000,
128,cold,True,19417000,0.062211,21634284,20288000,
128,cold,True,18115000,0.074231,20592231,18529000,
128,cold,True,15484000,0.096883,15070692,16301000,
128,cold,True,14094000,0.06327,14126558,14470000,
128,cold,True,13393000,0.11219,15650299,13714000,
128,cold,True,15100000,0.096069,14962066,15490000,
128,cold,True,14179000,0.100121,13968889,14459000,
128,cold,True,13306000,0.115709,16158486,13734000,
128,cold,True,17737000,0.124034,20366426,18084000,
128,cold,True,14004000,0.030311,13055027,14175000,
128,cold,True,17114000,0.100491,16953567,17539000,
128,cold,True,2159000,0.100489,3212083,2234000,
128,cold,True,12785000,0.094431,21728940,12962000,
128,cold,True,15395000,0.07029,14585203,15799000,
128,cold,True,14501000,0.085203,14238440,14783000,
128,cold,True,16621000,0.105226,18737456,17096000,
128,cold,True,15179000,0.081934,14300166,15475000,
128,cold,True,15383000,0.058298,18074052,15708000,
128,cold,True,20405000,0.076002,19747526,20764000,
128,cold,True,16096000,0.073395,15927806,16448000,
128,cold,True,14992000,0.112789,14864682,15384000,
128,cold,True,16493000,0.096605,19096610,16828000,
128,cold,True,15378000,0.055747,14896156,16149000,
128,cold,True,14693000,0.090031,14881950,15193000,
128,cold,True,18397000,0.05841,20493951,19050000,
128,cold,True,2339000,0.107499,3319734,2436000,
128,cold,True,13677000,0.109111,13382907,13829000,
128,cold,True,15588000,0.082589,15313131,15896000,
128,cold,True,16676000,0.110157,21458730,20059000,
128,cold,True,14892000,0.096867,14691589,15240000,
128,cold,True,15746000,0.065445,17721620,16023000,
128,cold,True,14653000,0.070314,14479887,15042000,
128,cold,True,16192000,0.092888,15967128,16537000,
128,cold,True,14828000,0.101299,14764810,15153000,
128,cold,True,12703000,0.030891,14884673,12968000,
128,cold,True,14508000,0.117437,16845708,15021000,
128,cold,True,16705000,0.10868,16575737,17128000,
128,cold,True,13283000,0.06051,13080585,13536000,
128,cold,True,15779000,0.064091,15586669,16213000,
128,cold,True,14491000,0.074706,14070477,15231000,
128,cold,True,13483000,0.09766,14214799,13925000,
128,cold,True,15715000,0.054296,15447844,16061000,
128,cold,True,14101000,0.078125,13851426,14380000,
128,cold,True,15911000,0.036785,18501894,16303000,
128,cold,True,14203000,0.099175,14132824,14562000,
128,cold,True,15501000,0.053205,14825527,16074000,
128,cold,True,15084000,0.081647,14753961,15356000,
128,cold,True,18097000,0.096312,17506931,18417000,
128,cold,True,16413000,0.034455,15422200,16752000,
128,cold,True,20897000,0.07522,20203392,21260000,
128,cold,True,13991000,0.086955,13897068,14339000,
128,cold,True,14284000,0.062577,13990152,14517000,
128,cold,True,18515000,0.032968,17290973,18790000,
128,cold,True,13974000,0.065191,13759063,14271000,
128,cold,True,16514000,0.09503,16353430,16945000,
128,cold,True,15895000,0.089642,15666892,16277000,
128,cold,True,12493000,0.068959,12516757,12845000,
128,cold,True,15094000,0.104663,14950582,15319000,
128,cold,True,13310000,0.073229,25326669,13742000,
128,cold,True,14501000,0.098805,14471888,14762000,
128,cold,True,19000000,0.09899,21451039,19358000,
128,cold,True,15296000,0.100304,15202451,15559000,
128,cold,True,15005000,0.082615,14678468,15248000,
128,cold,True,12112000,0.067435,12168747,12454000,
128,cold,True,15391000,0.095154,18080040,15761000,
128,cold,True,17006000,0.077257,16087999,17418000,
128,cold,True,21138000,0.132099,32880168,21658000,
128,cold,True,20216000,0.078664,22420735,20452000,
128,cold,True,16170000,0.113228,15227203,16454000,
128,cold,True,16103000,0.101862,15774049,16488000,
128,cold,True,15304000,0.089946,18124604,15722000,
128,cold,True,13685000,0.115527,16544912,14039000,
128,cold,True,15195000,0.092164,15064940,15606000,
128,cold,True,2270000,0.108071,3294511,2368000,
128,cold,True,14287000,0.045527,16962478,14612000,
128,cold,True,14602000,0.114327,13744937,14835000,
128,cold,True,20005000,0.07672,22314464,20348000,
128,cold,True,15921000,0.05744,15685440,16306000,
128,cold,True,14058000,0.07937,13644730,14165000,
128,cold,True,14996000,0.079661,14824784,15397000,
128,cold,True,15563000,1.175815,19185287,15930000,
128,cold,True,21717000,0.109322,24156641,22281000,
128,cold,True,15509000,0.033843,14554039,15799000,
128,cold,True,16295000,0.109768,18949788,16695000,
128,cold,True,14681000,0.058846,13847476,15005000,
128,cold,True,16525000,0.11082,19113603,16788000,
128,cold,True,16200000,0.095668,15964979,16600000,
128,cold,True,16385000,0.062817,15420907,16720000,
128,cold,True,16807000,0.048691,15858823,17208000,
128,cold,True,16197000,0.096134,18591608,16938000,
128,cold,True,15108000,0.073582,14888149,15434000,
128,cold,True,19488000,0.106044,21984488,19926000,
128,cold,True,14716000,0.128396,14618707,15101000,
128,cold,True,15391000,0.082408,18037184,15710000,
128,cold,True,14641000,0.10053,14687975,15070000,
128,cold,True,13678000,0.115341,16493611,14013000,
128,cold,True,13409000,0.099307,15656083,13730000,
128,cold,True,14702000,0.085396,14454627,14986000,
128,cold,True,17395000,0.110527,19270672,17672000,
128,cold,True,16393000,0.093994,16160335,16733000,
128,cold,True,16196000,0.088849,18814867,16557000,
128,cold,True,14510000,0.040021,14275243,14809000,
128,cold,True,14884000,0.127877,17893798,15336000,
128,cold,True,15706000,0.134297,27483573,15965000,
128,cold,True,15891000,0.074336,15555191,16177000,
128,cold,True,14570000,0.087018,14318316,14861000,
128,cold,True,15498000,0.061927,14525532,15742000,
128,cold,True,15815000,0.064603,15438370,16074000,
