memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3878845,0.07993,7228974,4519570,87.0
128,cold,True,3890060,0.074458,7526555,4473790,87.0
128,cold,True,3907566,0.075892,7695499,4527890,87.0
128,cold,True,3883207,0.071102,7770690,4503550,87.0
128,cold,True,3992317,0.072071,7056274,4632390,87.0
128,cold,True,4036918,0.06426,7754283,4536800,87.0
128,cold,True,3880706,0.085279,7129794,4482330,87.0
128,cold,True,3838592,0.064661,6931580,4420350,87.0
128,cold,True,3895458,0.067245,7148901,4514460,87.0
128,cold,True,3812827,0.072969,6594101,4434160,87.0
128,cold,True,3845931,0.073217,7188480,4467030,87.0
128,cold,True,3891206,0.068509,7591207,4492560,87.0
128,cold,True,3784475,0.063233,7384909,4404610,87.0
128,cold,True,3844857,0.067106,6984207,4504000,87.0
128,cold,True,3871624,0.084054,8279269,4491620,87.0
128,cold,True,3793896,0.064009,6627749,4434850,87.0
128,cold,True,3978529,0.082717,8853489,4598690,87.0
128,cold,True,3807843,0.074851,6158425,4426350,87.0
128,cold,True,3874773,0.068385,6775073,4476350,87.0
128,cold,True,3901851,0.07375,6566450,4524360,87.0
128,cold,True,3972171,0.065151,7591987,4612750,87.0
128,cold,True,3926124,0.075022,7095216,4547530,87.0
128,cold,True,3768902,0.081586,6777212,4370770,87.0
128,cold,True,3770958,0.078525,7606709,4353610,87.0
128,cold,True,3918884,0.075682,7071789,4557840,87.0
128,cold,True,3815764,0.065162,6948661,4417650,87.0
128,cold,True,3857515,0.0634,7547949,4478780,87.0
128,cold,True,3941878,0.076699,7293465,4563210,87.0
128,cold,True,3811278,0.065896,7706825,4431370,87.0
128,cold,True,3853675,0.070972,8267691,4434170,87.0
128,cold,True,3811049,0.057648,7625986,4450240,87.0
128,cold,True,3886052,0.062534,7131106,4525720,87.0
128,cold,True,3751274,0.069675,8121349,4410000,87.0
128,cold,True,3841716,0.062508,7850907,4443650,87.0
128,cold,True,3835584,0.061829,8070626,4495860,87.0
128,cold,True,3940221,0.080276,6466154,4598980,87.0
128,cold,True,3970268,0.062777,8032968,4611010,87.0
128,cold,True,3788861,0.062216,7455675,4369740,87.0
128,cold,True,3958734,0.064385,7635797,4560780,87.0
128,cold,True,3749416,0.083046,7370046,4389630,87.0
128,cold,True,3870644,0.071877,6400833,4493060,87.0
128,cold,True,3864432,0.060229,6982175,4524500,87.0
128,cold,True,3931297,0.068696,7841116,4591590,87.0
128,cold,True,3987680,0.072319,7058291,4589900,87.0
128,cold,True,3300058,0.067016,4240776,3642100,87.0
128,cold,True,3853024,0.073216,7277276,4491920,87.0
128,cold,True,3824039,0.082331,6813035,4464190,87.0
128,cold,True,3805708,0.07815,6961269,4446870,87.0
128,cold,True,3841932,0.080364,7431052,4463020,87.0
128,cold,True,3743525,0.073105,7302024,4402760,87.0
128,cold,True,3164848,0.065605,4728113,3524400,87.0
128,cold,True,3859720,0.070192,6742532,4500130,87.0
128,cold,True,3863688,0.068682,9478046,4484780,87.0
128,cold,True,3803228,0.085832,6721399,4265450,87.0
128,cold,True,3747606,0.064219,7830381,4369250,87.0
128,cold,True,3827151,0.078107,7076218,4429120,87.0
128,cold,True,3825262,0.069796,7438250,4427110,87.0
128,cold,True,3767762,0.074361,6327681,4389400,87.0
128,cold,True,3890759,0.071698,7724840,4492980,87.0
128,cold,True,3990246,0.067472,7168376,4649300,87.0
128,cold,True,3676144,0.06544,8154231,4295790,87.0
128,cold,True,3775892,0.0702,8284348,4397140,87.0
128,cold,True,3981660,0.07341,7585594,4641530,87.0
128,cold,True,3952690,0.078422,7145467,4554290,87.0
128,cold,True,3850652,0.074018,7443053,4469870,87.0
128,cold,True,3801475,0.080234,8345860,4422050,87.0
128,cold,True,3855350,0.069498,6205180,4476050,87.0
128,cold,True,3840095,0.075898,9527292,4441460,87.0
128,cold,True,3857014,0.060674,7147774,4476070,87.0
128,cold,True,3313709,0.068371,4304418,3655650,87.0
128,cold,True,3773887,0.08015,9366883,4375010,87.0
128,cold,True,3839197,0.069144,6918461,4479370,87.0
128,cold,True,3815829,0.065235,7628805,4456940,87.0
128,cold,True,3793636,0.073605,9517419,4395450,87.0
128,cold,True,3901083,0.075305,7482056,4503190,87.0
128,cold,True,3819909,0.06996,6447280,4422400,87.0
128,cold,True,3821464,0.071415,6580572,4421460,87.0
128,cold,True,3725433,0.071651,5180889,4365050,87.0
128,cold,True,3734109,0.060447,7365010,4315370,87.0
128,cold,True,3916606,0.202212,6718995,4538310,87.0
128,cold,True,3950547,0.072144,7096147,4532930,87.0
128,cold,True,3700065,0.076782,6220654,4301210,87.0
128,cold,True,3828358,0.064012,7938490,4469230,87.0
128,cold,True,3805426,0.065595,7999011,4446140,87.0
128,cold,True,3444413,0.078706,4390837,3826730,87.0
128,cold,True,3926656,0.083813,7412189,4508360,87.0
128,cold,True,3788299,0.058368,7317883,4391150,87.0
128,cold,True,3790173,0.083669,6764616,4391720,87.0
128,cold,True,3663388,0.05645,7252971,4265660,87.0
128,cold,True,3835368,0.056816,7237244,4493020,87.0
128,cold,True,3867925,0.069531,6148933,4489060,87.0
128,cold,True,3806887,0.082034,6643839,4427280,87.0
128,cold,True,3910181,0.071288,6659808,4531960,87.0
128,cold,True,3799727,0.082233,7349361,4476580,87.0
128,cold,True,3827588,0.062683,7016776,4427730,87.0
128,cold,True,3842712,0.068152,8678806,4443750,87.0
128,cold,True,3826778,0.070021,7609048,4486240,87.0
128,cold,True,3826640,0.07571,6846122,4467710,87.0
128,cold,True,3825262,0.06303,6784171,4463930,87.0
128,cold,True,3610479,0.074953,4808973,4212350,87.0
128,cold,True,3790794,0.081308,5611074,4390970,87.0
128,cold,True,3839515,0.076132,7277072,4459730,87.0
128,cold,True,3913470,0.063019,8605977,4553030,87.0
128,cold,True,3965405,0.082047,5589413,4586730,87.0
128,cold,True,3827511,0.067542,7462073,4447900,87.0
128,cold,True,3778424,0.080996,6499538,4418310,87.0
128,cold,True,3818622,0.06621,7674401,4400080,87.0
128,cold,True,3776544,0.062218,9195025,4377680,87.0
128,cold,True,3847717,0.077132,7111570,4448810,87.0
128,cold,True,3837387,0.078171,7158630,4439770,87.0
128,cold,True,3826728,0.077702,7824191,4447720,87.0
128,cold,True,3846528,0.078361,9333932,4487090,87.0
128,cold,True,3944992,0.079037,7152756,4586070,87.0
128,cold,True,3810373,0.080937,5949578,4449320,87.0
128,cold,True,3844382,0.062743,7393097,4443830,87.0
128,cold,True,3884856,0.075287,8314623,4505060,87.0
128,cold,True,3743133,0.078668,6755569,4361240,87.0
128,cold,True,3956483,0.066921,8100557,4597420,87.0
128,cold,True,3885946,0.066644,8903622,4505920,87.0
128,cold,True,3807187,0.079764,6548464,4448150,87.0
128,warm,False,2194094,0.0668,4262843,2775810,90.0
128,warm,False,2212195,0.068643,5682640,2812230,91.0
128,warm,False,2235471,0.081069,6464873,2874010,90.0
128,warm,False,2262086,0.065764,7411156,2901510,91.0
128,warm,False,2190579,0.07353,5478932,2790380,90.0
128,warm,False,2244573,0.080153,5924247,2825740,90.0
128,warm,False,2259065,0.061551,5480595,2880550,90.0
128,warm,False,2235851,0.077847,5592581,2818440,90.0
128,warm,False,2216715,0.063422,5885104,2817990,91.0
128,warm,False,2192902,0.083139,5170827,2774660,91.0
128,warm,False,2214609,0.069311,4374957,2797920,90.0
128,warm,False,2201316,0.082549,5896432,2782980,91.0
