memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,3196664,0.060163,9882426,4570000,
128,cold,True,258935,0.062141,3791775,354000,
128,cold,True,268267,0.062209,3978312,346000,
128,cold,True,2794225,0.06873,7229636,3454000,
128,cold,True,3094720,0.068651,8709237,4077000,
128,cold,True,3393833,0.059985,9323899,4111000,
128,cold,True,237102,0.090256,3891945,367000,
128,cold,True,238153,0.032867,3743842,362000,
128,cold,True,273986,0.106669,3643171,372000,
128,cold,True,3403922,0.076102,8366823,4329000,
128,cold,True,268073,0.062239,3176910,371000,
128,cold,True,2699271,0.053666,8783768,3284000,
128,cold,True,246193,0.052425,4413541,338000,
128,cold,True,288756,0.028841,4376745,389000,
128,cold,True,3304905,0.03664,9735386,4270000,
128,cold,True,3394153,0.074196,8235333,4474000,
128,cold,True,2699682,0.076729,6521075,3337000,
128,cold,True,277358,0.080152,5492767,382000,
128,cold,True,2902934,0.080872,8769541,3742000,
128,cold,True,3305502,0.085077,10069328,4156000,
128,cold,True,3403807,0.044,4940971,4049000,
128,cold,True,2995079,0.070962,8363453,3963000,
128,cold,True,4395213,0.068528,9850297,7302000,
128,cold,True,2800150,0.067671,9346639,3706000,
128,cold,True,265327,0.063076,3684635,388000,
128,cold,True,238538,0.063763,3919091,321000,
128,cold,True,2997088,0.065589,9910087,3786000,
128,cold,True,221230,0.074649,4073051,291000,
128,cold,True,3203333,0.029989,9354288,4219000,
128,cold,True,295817,0.058428,4079771,400000,
128,cold,True,3798853,0.070526,7742352,5183000,
128,cold,True,4098954,0.063621,9214014,5092000,
128,cold,True,272781,0.051056,4512644,384000,
128,cold,True,3599778,0.063421,8877044,4695000,
128,cold,True,2539980,0.129389,9374860,3695000,
128,cold,True,2796702,0.03919,7054852,3792000,
128,cold,True,260771,0.073602,3786605,392000,
128,cold,True,2901059,0.064569,9906321,3846000,
128,cold,True,260590,0.077302,3805235,315000,
128,cold,True,2939184,0.06104,7005878,3544000,
128,cold,True,3095891,0.030091,8421177,3825000,
128,cold,True,3295871,0.067521,8268561,4233000,
128,cold,True,3299589,0.044357,5606556,3949000,
128,cold,True,304330,0.075191,4063109,437000,
128,cold,True,249073,0.097501,4467715,301000,
128,cold,True,2800138,0.069494,9890611,3854000,
128,cold,True,2594466,0.099188,9822421,3477000,
128,cold,True,3197470,0.066645,9546694,4094000,
128,cold,True,2798623,0.063536,5272483,3334000,
128,cold,True,3100471,0.07034,8995740,4262000,
128,cold,True,2597371,0.102092,9792467,3565000,
