memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,1773989,0.304129,3672975,2996110,90.0
256,cold,True,2130840,0.075517,8661694,3692190,90.0
256,cold,True,2121626,0.296453,10156662,3681490,90.0
256,cold,True,2115648,0.308908,7520978,3673260,90.0
256,cold,True,2090912,0.292952,12189271,3631750,90.0
256,cold,True,2136766,0.284936,10620848,3694310,90.0
256,cold,True,2168527,0.282006,13829807,3729030,90.0
256,cold,True,2183982,0.292891,11102947,3782890,90.0
256,cold,True,2140085,0.289747,8702913,3657470,90.0
256,cold,True,2135529,0.299355,9140239,3675940,90.0
256,cold,True,2129808,0.290253,11120042,3690980,90.0
256,cold,True,2181386,0.297059,12016081,3780030,90.0
256,cold,True,2196856,0.290049,10970560,3759740,90.0
256,cold,True,2080276,0.311079,12723780,3600760,90.0
256,cold,True,2171797,0.297057,13055587,3713270,90.0
256,cold,True,2146872,0.315306,12175845,3669300,90.0
256,cold,True,2154249,0.293293,15097002,3716780,90.0
256,cold,True,1874559,0.286812,9826140,3118900,90.0
256,cold,True,2152910,0.307526,11669841,3692990,90.0
256,cold,True,2153784,0.278544,13777337,3574610,90.0
256,cold,True,1805440,0.284982,10578423,3042820,90.0
256,cold,True,2119820,0.301886,11606544,3621030,90.0
256,cold,True,2181758,0.312748,12402907,3743410,90.0
256,cold,True,2092768,0.300274,9718889,3633780,90.0
256,cold,True,2114260,0.297106,11303326,3655930,90.0
256,cold,True,2163681,0.295117,10593414,3743600,90.0
256,cold,True,2119334,0.317685,12101709,3623010,90.0
256,cold,True,2159997,0.297807,12670731,3683120,90.0
256,cold,True,2183569,0.299375,9335597,3783650,90.0
256,cold,True,2141768,0.285899,14193281,3703200,90.0
256,cold,True,2072229,0.293119,9058683,3630410,90.0
256,cold,True,2126988,0.293858,9037531,3706800,90.0
256,cold,True,2120087,0.297862,10625693,3662750,90.0
256,cold,True,2180447,0.301063,9486530,3742630,90.0
256,cold,True,2234723,0.300132,11044439,3837620,90.0
256,cold,True,2137256,0.291622,9725513,3677630,90.0
256,cold,True,2148738,0.074123,11435416,3711010,90.0
256,cold,True,2133159,0.288365,10063913,3654570,90.0
256,cold,True,2168995,0.283258,10774656,3731660,90.0
256,cold,True,2131864,0.298185,12473373,3674740,90.0
256,cold,True,2109860,0.290353,12024571,3632040,90.0
256,cold,True,2124869,0.288814,7507008,3647640,90.0
256,cold,True,2123905,0.290217,10874061,3645690,90.0
256,cold,True,2081782,0.074234,10508258,3625520,90.0
256,cold,True,2117197,0.293358,12194049,3699390,90.0
256,cold,True,2144347,0.289602,11023871,3682520,90.0
256,cold,True,2141143,0.294803,8315611,3702130,90.0
256,cold,True,2105238,0.310462,12695793,3703540,90.0
256,cold,True,2135769,0.292568,9275603,3695960,90.0
256,cold,True,2127858,0.295245,9740110,3668990,90.0
256,cold,True,2222962,0.290819,13769242,3642370,90.0
256,cold,True,2143374,0.286093,8144653,3683760,90.0
256,cold,True,2110867,0.290619,11141472,3632590,90.0
256,cold,True,2218490,0.286226,12513144,3781740,90.0
256,cold,True,2096493,0.284589,11424771,3636330,90.0
256,cold,True,2153169,0.285477,10033985,3516710,90.0
256,cold,True,2108503,0.281456,10910702,3667370,90.0
256,cold,True,2114370,0.30565,11354132,3637300,90.0
256,cold,True,2144036,0.296345,10568879,3685660,90.0
256,cold,True,2211725,0.279763,14250014,3774220,90.0
256,cold,True,1827669,0.301128,9505621,3065840,90.0
256,cold,True,2120361,0.293755,8847279,3663320,90.0
256,cold,True,2120875,0.284655,10921479,3620720,90.0
256,cold,True,2054002,0.082922,12072631,3592630,90.0
256,cold,True,2088556,0.286646,9935613,3627420,90.0
256,cold,True,1824433,0.292447,10505343,3024220,90.0
256,cold,True,2114993,0.291525,14898268,3639240,90.0
256,cold,True,2148742,1.430636,11105305,3570640,90.0
256,cold,True,2135988,0.2918,9946044,3676960,90.0
256,cold,True,2141080,0.296199,9061556,3683040,90.0
256,cold,True,2178760,0.282509,13677618,3560360,90.0
256,cold,True,2137918,0.311407,11679059,3716410,90.0
256,cold,True,2116600,0.279389,14413398,3716990,90.0
256,cold,True,1801080,0.293946,10689119,3001520,90.0
256,cold,True,2112231,0.312212,10876417,3634900,90.0
256,cold,True,2058002,0.29988,7431528,3595780,90.0
256,cold,True,2153442,0.293876,12660625,3693070,90.0
256,cold,True,2143154,0.283825,10284281,3703070,90.0
256,cold,True,2114689,0.284767,12999099,3636500,90.0
256,cold,True,2092322,0.297284,12587741,3652100,90.0
256,cold,True,2077292,0.278331,10641441,3598480,90.0
256,cold,True,2214671,0.280953,13949997,3815500,90.0
256,cold,True,1797717,0.294027,8605229,3018590,90.0
256,cold,True,2195927,0.282826,14483640,3736370,90.0
256,cold,True,2051872,0.283826,11452431,3572970,90.0
256,cold,True,2141194,0.301029,8135694,3663570,90.0
256,cold,True,2170250,0.298479,10956737,3729980,90.0
256,cold,True,2136947,0.291978,10962521,3658830,90.0
256,cold,True,2089864,0.295141,13748446,3633320,90.0
256,cold,True,2124224,0.301288,12597889,3666880,90.0
256,cold,True,2149022,0.293142,8308611,3692180,91.0
256,cold,True,2133729,0.288501,14932743,3674990,90.0
256,cold,True,2150495,0.28789,13544247,3669650,90.0
256,cold,True,2066728,0.283019,10316172,3585520,90.0
256,cold,True,2243889,0.29042,10682800,3665470,90.0
256,cold,True,2067748,0.291453,14558889,3587320,90.0
256,cold,True,2101721,0.281384,10758769,3521140,90.0
256,cold,True,1915383,0.305267,8193048,3137270,90.0
256,cold,True,2098292,0.289076,10000993,3641550,90.0
256,cold,True,2154988,0.308858,12884879,3676820,90.0
256,cold,True,2151493,0.294851,7997076,3691280,90.0
256,cold,True,2093356,0.295265,9478992,3633900,90.0
256,cold,True,2147761,0.301911,12012098,3689670,90.0
256,cold,True,2082177,0.291413,8718786,3603500,90.0
256,cold,True,2122044,0.285418,8468857,3681420,90.0
256,cold,True,2132548,0.289038,9876183,3656430,90.0
256,cold,True,2171190,0.298567,11108463,3753080,90.0
256,cold,True,2144881,0.308607,11760692,3723530,90.0
256,cold,True,2161447,0.297231,10796800,3702810,90.0
256,cold,True,2124303,0.309922,11647349,3682970,90.0
256,cold,True,2150306,0.279574,12063393,3710060,90.0
256,cold,True,2051916,0.295157,14542829,3611840,90.0
256,cold,True,2137309,0.297548,13953352,3659440,90.0
256,cold,True,1918230,0.286414,10002473,3139500,90.0
256,cold,True,1817836,0.284882,10376224,3042070,90.0
256,cold,True,2121395,0.280144,7362940,3623680,90.0
256,cold,True,2180644,0.311263,11065250,3740980,90.0
256,cold,True,2147540,0.279802,10550028,3527840,90.0
256,cold,True,2161375,0.299086,9707257,3662670,90.0
256,cold,True,1870619,0.305231,7943199,3109620,90.0
256,warm,False,1354219,0.286458,9944696,2856960,93.0
256,warm,False,1357485,0.287824,9030704,2857750,93.0
256,warm,False,1341102,0.300481,13308441,2839620,93.0
256,warm,False,1404084,0.296339,13012181,2905090,93.0
256,warm,False,1426168,0.272607,10003588,2927390,93.0
256,warm,False,1417330,0.10229,9671544,2978000,93.0
256,warm,False,1373794,0.296173,13275119,2913430,93.0
256,warm,False,1372072,0.320585,12920431,2793370,93.0
256,warm,False,1346511,0.294254,9928247,2847060,93.0
256,warm,False,1397221,0.289987,11676743,2957800,93.0
256,warm,False,1425787,0.289783,12475613,2968100,93.0
256,warm,False,1424091,0.288544,13847864,2985430,93.0
256,warm,False,1334931,0.280292,10080099,2873990,93.0
256,warm,False,1424024,0.333582,10021103,2965650,93.0
256,warm,False,1346981,0.285808,9194719,2829010,93.0
256,warm,False,1423311,0.272521,9893736,2963640,93.0
256,warm,False,1388547,0.300691,9664700,2910220,93.0
256,warm,False,1424099,0.291599,10021019,2966610,93.0
256,warm,False,1418161,0.270278,10218637,2961510,93.0
256,warm,False,1409061,0.300142,13085880,2949840,93.0
256,warm,False,1432942,0.289461,9140277,2952300,93.0
256,warm,False,1083447,0.287451,8859535,2244260,93.0
256,warm,False,1394433,0.296641,9549210,2954710,93.0
256,warm,False,1402888,0.314926,7018218,2924010,93.0
256,warm,False,1367347,0.28357,9998634,2908280,93.0
256,warm,False,1420523,0.31078,10119735,0,
256,warm,False,1367931,0.308623,12395500,2909140,93.0
256,warm,False,1368260,0.326418,8626006,2849810,93.0
256,warm,False,1342311,0.328333,8064821,2822490,93.0
256,warm,False,1336581,0.304838,9125133,2819010,93.0
256,warm,False,1052823,0.319192,11209392,2234400,93.0
256,warm,False,1377236,0.293622,8608499,2796260,93.0
256,warm,False,1405934,0.281982,9158501,2905740,93.0
256,warm,False,1413475,0.291628,9730989,2974580,93.0
256,warm,False,1146821,0.321662,12769333,2330090,93.0
256,warm,False,1374958,0.309496,13854680,2915030,93.0
256,warm,False,1343674,0.301,13506921,2863600,93.0
256,warm,False,1104028,0.309078,5613204,2322220,93.0
256,warm,False,1375481,0.293595,12602615,2916440,93.0
256,warm,False,1426732,0.276538,9285860,2930020,93.0
