memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,warm,False,1950855,0.155355,9890487,0,
128,warm,False,1106277,0.153404,7990078,0,
128,warm,False,1412146,0.153894,6557958,0,
128,warm,False,2006125,0.163126,6166069,0,
128,warm,False,1579684,0.154432,8321664,0,
128,warm,False,975420,0.157193,6996681,0,
128,warm,False,1039166,0.150962,9053020,0,
128,warm,False,1349825,0.154722,8119632,0,
128,warm,False,1256367,0.148021,5939647,0,
128,warm,False,1401743,0.146273,9244435,0,
128,warm,False,1762286,0.156075,8901925,0,
128,warm,False,1087689,0.207622,6937001,0,
128,warm,False,1571406,0.154521,8780587,0,
128,warm,False,1273486,0.157123,3797994,0,
128,warm,False,1749187,0.15586,8386219,0,
128,warm,False,1299556,0.203274,8626639,0,
128,warm,False,1713888,0.160863,9008266,0,
128,warm,False,215179,0.148609,1239642,0,
128,warm,False,1601532,0.147456,7744660,0,
128,warm,False,1847776,0.164801,7400709,0,
128,warm,False,1744940,0.206854,6413167,0,
128,warm,False,1717595,0.156266,8375407,0,
128,warm,False,1843436,0.154539,7298437,0,
128,warm,False,1746880,0.203588,8705372,0,
128,warm,False,980998,0.159215,6818727,0,
128,warm,False,1582028,0.159475,3634031,0,
128,warm,False,1453608,0.149174,12856643,0,
128,warm,False,1497561,0.206689,8795304,0,
128,warm,False,1106236,0.20089,3276624,0,
128,warm,False,2001573,0.153034,9298451,0,
128,warm,False,1988236,0.162847,8340677,0,
128,warm,False,936795,0.153471,2029090,0,
128,warm,False,252734,0.146018,2466450,0,
128,warm,False,1491837,0.159939,8417144,0,
128,warm,False,1688869,0.200441,7555798,0,
128,warm,False,516660,0.2011,2388337,0,
128,warm,False,2063387,0.164264,7825095,0,
128,warm,False,1708954,0.155213,8401829,0,
128,warm,False,1647357,0.157633,12347015,0,
128,warm,False,1400252,0.211117,3355350,0,
128,warm,False,1408947,0.150554,7891389,0,
128,warm,False,1892389,0.211105,7730012,0,
128,warm,False,1715264,0.1629,13139059,0,
128,warm,False,1132393,0.16151,9361725,0,
128,warm,False,1263956,0.155448,5363472,0,
128,warm,False,1204782,0.153711,2525224,0,
128,warm,False,1349996,0.184914,9332154,0,
128,warm,False,1338172,0.149052,8683532,0,
128,warm,False,2033389,0.149802,12817325,0,
128,warm,False,1847819,0.203067,5306854,0,
128,warm,False,1213825,0.138751,8222192,0,
128,warm,False,1034684,0.15081,7492184,0,
128,warm,False,1988982,0.201618,8369694,0,
128,warm,False,1041322,0.155768,9652129,0,
128,warm,False,2414871,0.203622,8208698,0,
128,warm,False,1050482,0.176743,7259704,0,
128,warm,False,1677713,0.153673,9048118,0,
128,warm,False,1228819,0.145493,9318016,0,
128,warm,False,1589390,0.158991,3535002,0,
128,warm,False,1986525,0.15577,6729136,0,
128,warm,False,1061817,0.15763,2711589,0,
128,warm,False,636168,0.141648,4581919,0,
128,warm,False,1459786,0.210386,9175241,0,
128,warm,False,854755,0.1577,13984358,0,
128,warm,False,1358410,0.161726,8301374,0,
128,warm,False,1860978,0.159153,6566662,0,
128,warm,False,1748899,0.162966,13534368,0,
128,warm,False,1346389,0.158399,6530593,0,
128,warm,False,1043782,0.185033,8598041,0,
128,warm,False,1937317,0.1605,7526462,0,
128,warm,False,1071369,0.156458,8596843,0,
128,warm,False,1736008,0.161946,8978109,0,
128,warm,False,301146,0.148231,1094518,0,
128,warm,False,761186,0.158665,2061562,0,
128,warm,False,1233360,0.206768,2642838,0,
128,warm,False,1511392,0.156704,8650794,0,
128,warm,False,1402176,0.144539,9365399,0,
128,warm,False,1382508,0.142952,6314273,0,
128,warm,False,1313604,0.168059,8866960,0,
128,warm,False,1187116,0.154859,7289325,0,
128,warm,False,2261381,0.207456,4117337,0,
128,warm,False,259724,0.189969,1194026,0,
128,warm,False,1836045,0.154112,4581392,0,
128,warm,False,1581071,0.165315,6747056,0,
128,warm,False,1599187,0.207238,8603686,0,
128,warm,False,1145085,0.151079,7684907,0,
128,warm,False,1253954,0.157002,8354011,0,
128,warm,False,2564175,0.152562,5630857,0,
128,warm,False,1435358,0.154981,9118091,0,
128,warm,False,946461,0.162961,7754966,0,
128,warm,False,1553195,0.155511,3940998,0,
128,warm,False,1895747,0.1615,7721008,0,
128,warm,False,1605002,0.156535,9748701,0,
128,warm,False,1316879,0.165984,11279117,0,
128,warm,False,1897836,0.165024,11757149,0,
128,warm,False,1099406,0.183518,8494438,0,
128,warm,False,1289885,0.155977,8607151,0,
128,warm,False,1674927,0.162114,7702026,0,
128,warm,False,1290355,0.20895,3695828,0,
128,warm,False,1345104,0.167115,8614242,0,
128,warm,False,1929822,0.151897,6530771,0,
128,warm,False,1645709,0.152013,8908579,0,
128,warm,False,256198,0.143747,1755944,0,
128,warm,False,1411305,0.169533,8836488,0,
128,warm,False,1770177,0.208073,6126445,0,
128,warm,False,1543130,0.169568,7557737,0,
128,warm,False,2054133,0.15942,12374464,0,
128,warm,False,2034947,0.169553,12685088,0,
128,warm,False,1537597,0.156211,8462337,0,
128,warm,False,1119471,0.138525,10145727,0,
128,warm,False,1360679,0.210948,8862251,0,
128,warm,False,1889170,0.199812,8715353,0,
128,warm,False,1408178,0.157352,6030224,0,
128,warm,False,2005460,0.191423,7230914,0,
128,warm,False,1343035,0.191681,8335524,0,
128,warm,False,1940500,0.161193,5375741,0,
128,warm,False,1286314,0.186766,7179642,0,
128,warm,False,1589856,0.154327,6390079,0,
128,warm,False,208011,0.19471,936310,0,
128,warm,False,829222,0.152356,9001299,0,
128,warm,False,1118673,0.155463,9110275,0,
