memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
256,cold,True,1505037,0.029563,8432339,2108000,
256,cold,True,305912,0.042901,4288388,396000,
256,cold,True,1408855,0.034758,8583369,1753000,
256,cold,True,314974,0.039936,7754974,403000,
256,cold,True,294709,0.044032,5767603,423000,
256,cold,True,1898795,0.134702,13868956,2368000,
256,cold,True,273643,0.040661,7453292,397000,
256,cold,True,315548,0.042888,7426659,400000,
256,cold,True,1395551,0.048451,8205597,1764000,
256,cold,True,1796975,0.045979,8545800,2325000,
256,cold,True,1924910,0.038531,8160387,2244000,
256,cold,True,301298,0.050499,4907068,390000,
256,cold,True,1711241,0.029418,8095817,2204000,
256,cold,True,1499900,0.044974,8655279,1836000,
256,cold,True,1505275,0.132857,13883208,1880000,
256,cold,True,787998,0.043596,7320048,2517000,
256,cold,True,1596350,0.028032,6886519,1854000,
256,cold,True,384514,0.047127,8320978,487000,
256,cold,True,275779,0.039554,5039696,372000,
256,cold,True,1688888,0.11003,13205853,2198000,
256,cold,True,1595019,0.043806,8004323,1868000,
256,cold,True,350304,0.049556,7076845,474000,
256,cold,True,1410895,0.041271,8035768,1831000,
256,cold,True,1802087,0.115363,12603150,2286000,
256,cold,True,1600110,0.047241,7583924,2194000,
256,cold,True,304032,0.13384,11456788,425000,
256,cold,True,1532756,0.045174,8676693,1837000,
256,cold,True,1968521,0.026722,6671456,2373000,
256,cold,True,269580,0.047987,8118876,345000,
256,cold,True,328944,0.035993,7773047,453000,
256,cold,True,1706338,0.107325,13777695,2296000,
256,cold,True,1591151,0.041328,8136556,2017000,
256,cold,True,1699830,0.109142,11420880,2015000,
256,cold,True,1557858,0.04233,8631689,1942000,
256,cold,True,241329,0.03965,7820498,312000,
256,cold,True,292456,0.126933,11910618,384000,
256,cold,True,1513028,0.038932,8521719,1941000,
256,cold,True,1599967,0.041658,8692265,1924000,
256,cold,True,358298,0.043247,6942288,464000,
256,cold,True,287739,0.047721,8291917,413000,
256,cold,True,1599902,0.132163,13578680,1935000,
256,cold,True,263630,0.125002,11981914,357000,
256,cold,True,277560,0.040903,7919504,405000,
256,cold,True,1494335,0.145366,13399285,1880000,
256,cold,True,1594501,0.038604,8544337,2092000,
256,cold,True,1979353,0.045354,8572079,2364000,
256,cold,True,263682,0.046132,7501601,346000,
256,cold,True,1595952,0.034675,8464262,1998000,
256,cold,True,1991532,0.03124,8543468,2338000,
256,cold,True,1556529,0.029448,7135703,1778000,
256,cold,True,275831,0.042732,7857238,363000,
256,cold,True,332400,0.04125,8611323,455000,
256,cold,True,1701747,0.047713,6842720,2255000,
256,cold,True,311982,0.030462,8219024,401000,
256,cold,True,1510735,0.030021,8243755,1992000,
256,cold,True,280411,0.031111,8153925,400000,
256,cold,True,1887881,0.034992,8378405,2132000,
256,cold,True,1804862,0.029618,8694862,2159000,
256,cold,True,1544808,0.043041,7747186,1809000,
256,cold,True,1694533,0.043057,8084773,2032000,
256,cold,True,307619,0.038818,6080713,452000,
256,cold,True,1698332,0.031429,8276189,2132000,
256,cold,True,267593,0.036113,2361614,342000,
256,cold,True,331502,0.044112,6977795,465000,
256,cold,True,2000930,0.033089,8042773,2476000,
256,cold,True,280021,0.03331,5759671,365000,
256,cold,True,1609801,0.044514,7809094,2092000,
256,cold,True,1793389,0.037045,7395100,2278000,
256,cold,True,318233,0.051309,8727765,413000,
256,cold,True,1616176,0.049443,7828167,2071000,
256,cold,True,1395355,0.047359,8351371,1758000,
256,cold,True,1897162,0.041253,8169180,2250000,
256,cold,True,1993205,0.137451,13907615,2281000,
256,cold,True,1472145,0.042832,8129167,1781000,
256,cold,True,1805141,0.039298,8290283,2137000,
256,cold,True,328704,0.121593,11672117,419000,
256,cold,True,301591,0.045779,7087794,387000,
256,cold,True,304695,0.038845,7927224,403000,
256,cold,True,253113,0.140131,13157948,378000,
256,cold,True,280119,0.03864,6596467,368000,
256,cold,True,286201,0.042302,6793161,389000,
256,cold,True,327050,0.042688,6480888,427000,
256,cold,True,1415570,0.028036,5310217,1645000,
256,cold,True,1589805,0.046785,8222671,2117000,
256,cold,True,1602323,0.119557,13685982,1953000,
256,cold,True,257637,0.049367,6688098,364000,
256,cold,True,1765900,0.027726,7617904,2071000,
256,cold,True,1507004,0.0311,8474380,2008000,
256,cold,True,268165,0.028652,4545865,355000,
256,cold,True,1501473,0.042379,8682066,1956000,
256,cold,True,1513201,0.11917,14042802,1933000,
256,cold,True,321960,0.043935,8592021,417000,
256,cold,True,1499534,0.033109,8475899,1947000,
256,cold,True,1698207,0.03552,7726157,2043000,
256,cold,True,884742,0.030179,6669970,1416000,
256,cold,True,1787185,0.030488,8701844,2308000,
256,cold,True,1900818,0.033001,8556030,2261000,
256,cold,True,326895,0.144269,11993161,413000,
256,cold,True,1792111,0.139801,13785648,2162000,
256,cold,True,1584620,0.038288,7597226,1929000,
256,cold,True,1804441,0.02962,8426032,2196000,
256,cold,True,285528,0.043774,7205033,405000,
256,cold,True,294417,0.047838,8482643,394000,
256,cold,True,273029,0.032091,1596842,351000,
256,cold,True,296969,0.037589,7369853,411000,
256,cold,True,304048,0.036848,4607883,404000,
256,cold,True,276475,0.131491,12132329,391000,
256,cold,True,1476910,0.12202,13588710,1733000,
256,cold,True,1361745,0.119938,13137438,1729000,
256,cold,True,308604,0.142883,13564124,1731000,
256,cold,True,303595,0.04741,7610054,405000,
256,cold,True,1499989,0.037902,6659571,1992000,
256,cold,True,278231,0.028767,7610391,1530000,
256,cold,True,229930,0.030796,1879328,284000,
256,cold,True,1589192,0.044687,8673839,1863000,
256,cold,True,297166,0.035798,8029078,422000,
256,cold,True,293624,0.047216,8070069,376000,
256,cold,True,1900126,0.041306,7623018,2255000,
256,cold,True,1891043,0.046935,8568276,2161000,
256,cold,True,287884,0.132371,1915288,388000,
256,cold,True,296840,0.128144,11969390,385000,
256,cold,True,1800496,0.036658,7011780,2384000,
