memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used
128,cold,True,2897000,0.040098,5470778,4064000,
128,cold,True,2404000,0.048851,6257601,3601000,
128,cold,True,179000,0.040336,2736404,315000,
128,cold,True,2898000,0.081296,3596996,3620000,
128,cold,True,2899000,0.050076,6308378,4724000,
128,cold,True,177000,0.10066,2461542,300000,
128,cold,True,166000,0.057631,2912658,259000,
128,cold,True,167000,0.09672,2095901,245000,
128,cold,True,2108000,0.047192,4244848,3277000,
128,cold,True,2404000,0.046518,5152021,3976000,
128,cold,True,153000,0.060595,2621656,304000,
128,cold,True,171000,0.05187,2848631,257000,
128,cold,True,2498000,0.087322,6274877,3709000,
128,cold,True,235000,0.041807,2656074,381000,
128,cold,True,2097000,0.042192,4874209,3282000,
128,cold,True,2703000,0.049978,5819111,4034000,
128,cold,True,183000,0.032604,2342661,282000,
128,cold,True,3099000,0.081813,5928448,4133000,
128,cold,True,2185000,0.054235,6131974,3208000,
128,cold,True,2311000,0.032804,3199306,3191000,
128,cold,True,2395000,0.042515,5494736,3465000,
128,cold,True,2302000,0.04258,5879551,3501000,
128,cold,True,160000,0.038851,2616111,271000,
128,cold,True,140000,0.060397,2281256,298000,
128,cold,True,1698000,0.06316,3718321,2713000,
128,cold,True,169000,0.074955,2982941,349000,
128,cold,True,2298000,0.043919,4976813,3501000,
128,cold,True,2698000,0.045479,6301485,4288000,
128,cold,True,183000,0.039904,2388744,268000,
128,cold,True,2101000,0.050553,5092457,3216000,
128,cold,True,2406000,0.088327,6457841,3813000,
128,cold,True,2398000,0.049141,5330083,3721000,
128,cold,True,2193000,0.097278,6387880,3329000,
128,cold,True,1898000,0.038428,3891090,2842000,
128,cold,True,1885000,0.045401,3997883,2863000,
128,cold,True,185000,0.050045,2792800,277000,
128,cold,True,1807000,0.040191,4974593,2926000,
128,cold,True,143000,0.039877,2192292,282000,
128,cold,True,1702000,0.042049,4237448,2787000,
128,cold,True,1902000,0.041694,5676893,2941000,
128,cold,True,2194000,0.033243,4898024,3306000,
128,cold,True,172000,0.048579,2396124,271000,
128,cold,True,1904000,0.051818,4285219,3247000,
